Gibbon_DAICHI_ACC.bam.out	Gibbon_DAICHI_CB.bam.out	Gibbon_DAICHI_DPFC.bam.out	Gibbon_DAICHI_VPFC.bam.out	Gibbon_DAICHI_HIP.bam.out	Gibbon_DAICHI_V1C.bam.out	Gibbon_DAICHI_PMC.bam.out	Gibbon_DAICHI_STR.bam.out
TCONS_00000019	8.16920421755754	53.887003372662	0	13.9096192444812	15.9494733952799	6.42766326402885	2.19457641163933	4.01484509046424
TCONS_00000020	6.712498757936	76.3872619345148	12.0978285339396	7.37190420209605	38.1125958008044	17.1297225986369	10.5387571200142	3.53611017452813
TCONS_00000028	1.5139837932153	65.612934806491	2.64812628011749	7.91858473843123	42.2383804639825	8.92040307918898	5.10737783072426	5.8775885333373
TCONS_00000063	3.54861359676708	12.2514835566468	0	0	4.30303500976823	12.5777683416565	0	2.5287299503893
TCONS_00000100	34.492195585243	186.720312875425	60.9733448870062	49.8533398830611	124.669488570435	118.63619270114	39.9726417834306	20.2747449074498
TCONS_00000108	0	2817.84121802878	54.0049626142056	28.8308471612883	165.2365443751	145.637317640233	49.4552430791962	77.2593545368939
TCONS_00000123	92.2639535159438	509.029381321327	23.0821753371434	50.3395744085986	296.578412980949	123.900404559601	14.0452890344917	43.4941551466959
TCONS_00000148	4.24680652465086	17.4411835545301	3.32581881201852	6.49115564742455	37.7683530000228	8.33968967801212	3.59521050370949	8.83130053740018
TCONS_00000177	17.4082931162159	44.3549080615641	9.5956923325043	16.7158128761377	63.479635740434	20.4971039641809	7.52695017925601	13.2151750712243
TCONS_00000189	12.0652862290081	161.019498173073	7.87025825744838	0	114.747600260486	28.8240524496293	43.4390382510053	63.9619928627883
TCONS_00000245	36.4764467388616	299.036210892849	3.39145997278204	41.4561201011989	202.922072039597	32.5542239431108	11.9027873173658	63.6499831415064
TCONS_00000282	6.94020889279224	830.521622155851	0	12.2922216579136	403.255852343995	24.706330671111	4.84320311534197	4.3494155146696
TCONS_00000299	0.822058286043524	51.206093753596	1.0445834161355	0.824166628831007	15.8289398549856	8.70616371839881	5.06788779595062	1.67715251208339
TCONS_00000312	19.7580753168833	63.5337894670371	12.4003897286601	11.9225307809839	47.5012653234373	59.1032997802109	10.2520357915998	10.6179221425026
TCONS_00000324	19.770847181988	618.550511274608	36.224458952526	39.153002317799	413.091360937749	179.78392036379	37.2060636675276	20.9106515128346
