Human_Hs1_ACC.bam.out	Human_Hs2_ACC.bam.out	Human_Hs5_ACC.bam.out	Human_Hs6_ACC.bam.out	Human_Hs8_ACC.bam.out	Human_Hs1_CB.bam.out	Human_Hs2_CB.bam.out	Human_Hs3_CB.bam.out	Human_Hs6_CB.bam.out	Human_Hs8_CB.bam.out	Human_Hs1_DPFC.bam.out	Human_Hs2_DPFC.bam.out	Human_Hs3_DPFC.bam.out	Human_Hs5_DPFC.bam.out	Human_Hs6_DPFC.bam.out	Human_Hs8_DPFC.bam.out	Human_Hs2_VPFC.bam.out	Human_Hs5_VPFC.bam.out	Human_Hs6_VPFC.bam.out	Human_Hs8_VPFC.bam.out	Human_Hs4_HIP.bam.out	Human_Hs6_HIP.bam.out	Human_Hs7_HIP.bam.out	Human_Hs9_HIP.bam.out	Human_Hs1_V1C.bam.out	Human_Hs2_V1C.bam.out	Human_Hs5_V1C.bam.out	Human_Hs6_V1C.bam.out	Human_Hs8_V1C.bam.out	Human_Hs1_PMC.bam.out	Human_Hs2_PMC.bam.out	Human_Hs3_PMC.bam.out	Human_Hs5_PMC.bam.out	Human_Hs6_PMC.bam.out	Human_Hs8_PMC.bam.out	Human_Hs1_STR.bam.out	Human_Hs2_STR.bam.out	Human_Hs5_STR.bam.out	Human_Hs6_STR.bam.out	Human_Hs8_STR.bam.out
TCONS_00000002	1.58062298101988	0	0	1.01499108335408	0	0	0	0	2.04327031920361	0	0	4.47361123650892	0	0	2.80090018915431	0	0	4.31917321764307	0	0	0	0	0	0	0	0	0	0	0	0	6.27353619046816	0	0	0	3.81563177111282	0	0	0	0.316095220213099	0
TCONS_00000009	1.58169458982058	3.81563039528349	0.756436124663721	0.761243312515561	1.23818055439569	2.04671582826918	0	2.16950926415515	1.19854450672774	3.9794744619614	3.19554812596297	0.736591578216725	0.850265383556115	1.67602294744919	0	1.80750478390257	1.4041668798192	3.06040864730787	0	0	3.27532294233854	1.04173166421169	1.7079959236491	0.84849047731925	0	0.981925068968056	0	0.69300095377652	1.09616844492519	2.20210684076269	2.19473550433311	0	0.780047399705051	0	3.67325745129518	0	1.09604851820981	3.21143138718715	0.465675994063941	4.62340907530508
TCONS_00000019	20.1676998615607	22.9193200554489	17.888442055121	6.68202463208105	24.4452218024978	35.3184647790506	22.7863544818525	6.21402973379847	20.7644518785489	44.0254151439585	17.9406569648074	20.4597325082297	2.58564309261737	34.3429994416552	5.57796292989028	28.7490235561851	24.6732180311088	21.223523569453	15.665786453598	14.5572271073547	14.742142011121	15.9580110897246	17.7538457199968	10.8392747462946	3.22795259680412	20.5989244395197	23.4782900806412	8.06165154468115	31.0994707865255	19.4266670516135	9.15936283808353	4.07680436172406	33.6500447503532	14.6272887117522	17.5344299710681	8.57272503122944	20.4723712079635	29.6457005272859	4.11621055145146	17.9606116960473
TCONS_00000032	14.2836705305225	39.4946220765537	35.3674315389091	8.08581131949301	86.2048124017553	62.5566132581951	109.837349338305	6.56655993327617	51.744059393901	89.959862248421	40.9376507875154	63.2903819772768	5.05728989658228	104.247019635467	27.0773465320151	102.765725756013	47.8876729166474	51.0464705117557	5.97417870351659	68.5506587011371	41.6370374534073	2.78384658653514	21.3352249428237	61.1305056130517	5.76458598732869	9.3652189653126	18.7425838085118	13.2634038177897	79.2831708006938	28.6080330212402	48.0266216229099	7.53296415698892	94.4137946232933	6.88292325128976	103.419896203764	14.4827296152781	40.2069443768611	33.2286117021235	5.00981103733968	40.1650139432846
TCONS_00000052	2.07562234874141	0	0	0	0	0	0	0	0	0	0	0	0	0	3.73808352240746	0	0	0	0	0	0	2.15748110456474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCONS_00000069	10.3147084886812	44.5978597606028	9.61617713632182	14.5589092396373	25.8777395262736	0	0	0	0	0	17.0660794843095	4.14117728050506	0	12.8403506684359	17.9044298515311	32.3390088369049	14.047787172396	2.48261721081333	16.2477663484761	28.0717692786465	0	9.09673031605659	1.38416448174919	12.7769150106764	0	1.20807048296841	3.65651905415643	12.2997769281707	2.843891217862	3.47169483802373	8.03452880533641	0	15.9362689163786	50.2315344442265	16.5849121025987	1.52898638630275	1.4350540371248	11.9875371330445	7.35286112249546	13.7088169616889
TCONS_00000070	0	13.0673564401437	0	4.02262352432974	0	0	0	0	0	0	2.39341358621414	0	0	8.39208632972777	2.0697178239856	2.91618969103557	2.79131355503453	3.16986532281959	5.94369819992723	0	0	0	0	0	0	0	0	1.88481695484227	0	0	0	0	5.207745020888	6.84663367351495	1.35118254482936	0	0	4.11745840656747	1.9936654162246	0
TCONS_00000071	12.713893841882	23.7109290244542	14.2758280708348	15.2893783954396	18.7353889727172	0	0	0	0	0	12.8695025619383	4.51503356277289	1.67791732606021	7.99246317116928	16.9017071586217	6.80444261241631	4.51536016255585	17.3783204756933	17.6509825331172	16.3387059491638	0	8.79659677826825	2.41924349302791	3.8811596672216	0.806019375912673	2.14441690593784	6.35135246112143	9.67398185361739	5.43386357698632	0	3.18033431877901	0	7.43963574412571	17.5879664118736	7.68230878331077	1.27886196426906	11.1216687877172	6.48640707883918	5.07951275612007	8.10665618407565
TCONS_00000179	206.163854862754	691.480944957603	247.620231556904	115.310902137105	762.11573854846	406.07629231256	443.645258127338	111.258008117197	318.56088822225	613.976059845475	331.857672881254	514.713826156111	46.3894790146056	418.953767158502	304.671721214494	596.156972107183	290.595679033058	262.389772971816	144.936941081793	775.696403642502	430.231196962862	223.073511416159	316.460844725688	588.406469256881	56.6778170244048	163.736843070448	120.511790891343	234.191962904961	598.615790776198	415.77183688907	1072.83277686812	44.1347552406355	402.691911498899	191.43658772629	541.500533174963	137.069394730097	339.682155177396	411.408344066045	136.047680982756	211.811351725799
TCONS_00000198	37.4096132942258	15.5655275242888	11.6446991745678	4.83253567141575	0	8.66637959284266	11.8642875234624	3.7656025104097	4.33192183147555	7.97371506292824	30.9884074846672	25.3970637905975	1.79232078010977	30.4601651967895	12.0998888171466	26.5162815205501	5.11740818422997	4.67454822922129	7.97921128209408	35.6707626065713	5.68495580906194	7.41939203379729	0	25.2411083252874	4.24408432449593	9.25263163348917	10.2371177867144	17.8945685712697	17.8298648619864	18.8133752060535	83.9608260157658	6.93449032068238	12.1514050487387	18.5953916956086	41.7638241129076	6.82660118954892	6.09897965778037	14.5694682078541	7.36878857395857	2.85737004255298
