Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out	Normalize_type
TCONS_00000806	281.9146538	152.4505529	320.1755748	216.1987905	245.3904831	211.4825285	183.113151	173.0319865	221.2533798	229.511595	125.7605652	153.2408776	230.7309959	244.7784069	229.2509682	175.1383722	Counts
TCONS_00000807	75.54575691	24.34084457	102.7279934	33.98442526	95.38689626	23.82901729	114.1764353	21.2495422	90.42529436	9.736855544	166.0287265	24.84987205	75.83915742	51.3732459	93.85442323	20.60451438	Counts
TCONS_00000808	0	0	0.399719819	0	1.538498327	0	0	0	0.641314144	1.390979363	4.336571213	0	1.285409448	0	1.538597102	0	Counts
TCONS_00000824	453.2745415	0	335.7646478	5.784583023	524.6279294	0	280.0554075	0	464.3114405	0	234.7943557	8.283290684	389.4790627	0	581.5897046	2.943502054	Counts
TCONS_00000827	0.921289718	0	0	0	0	0	8.61708946	0	0	0	0	0	0	0	1.025731401	0	Counts
TCONS_00000829	1.842579437	1.281097083	0.799439638	0	1.538498327	0	0	0	5.130513155	0	1.85853052	0	0	0	2.051462803	0	Counts
TCONS_00000865	0.921289718	0	1.598879275	0	2.30774749	0	5.744726307	0	2.565256578	0	3.71706104	0	1.928114172	0	0.512865701	0	Counts
TCONS_00000887	0	1.281097083	0	0.723072878	1.538498327	1.489313581	2.872363153	6.071297771	4.489199011	1.390979363	2.478040693	2.761096895	1.285409448	0	2.564328504	0	Counts
TCONS_00000907	4.606448592	2.562194166	2.398318913	1.446145756	2.30774749	0	0	1.517824443	5.771827299	1.390979363	5.57559156	0	6.427047239	0	6.154388409	1.471751027	Counts
TCONS_00000963	3.685158874	0	2.398318913	0	2.30774749	0	3.590453942	0	2.565256578	0	1.239020347	0	0	0	1.025731401	0	Counts
