Chimpanzee_IYO_ACC.bam.out	Chimpanzee_KENNY_ACC.bam.out	Chimpanzee_MAYUMI_ACC.bam.out	Chimpanzee_REIKO_ACC.bam.out	Chimpanzee_YOSHIO_ACC.bam.out	Chimpanzee_IYO_CB.bam.out	Chimpanzee_KENNY_CB.bam.out	Chimpanzee_MAYUMI_CB.bam.out	Chimpanzee_REIKO_CB.bam.out	Chimpanzee_YOSHIO_CB.bam.out	Chimpanzee_GENKI_DPFC.bam.out	Chimpanzee_IYO_DPFC.bam.out	Chimpanzee_KENNY_DPFC.bam.out	Chimpanzee_MAYUMI_DPFC.bam.out	Chimpanzee_REIKO_DPFC.bam.out	Chimpanzee_YOSHIO_DPFC.bam.out	Chimpanzee_GENKI_VPFC.bam.out	Chimpanzee_IYO_VPFC.bam.out	Chimpanzee_KENNY_VPFC.bam.out	Chimpanzee_MAYUMI_VPFC.bam.out	Chimpanzee_REIKO_VPFC.bam.out	Chimpanzee_YOSHIO_VPFC.bam.out	Chimpanzee_IYO_HIP.bam.out	Chimpanzee_KENNY_HIP.bam.out	Chimpanzee_MAYUMI_HIP.bam.out	Chimpanzee_REIKO_HIP.bam.out	Chimpanzee_YOSHIO_HIP.bam.out	Chimpanzee_GENKI_V1C.bam.out	Chimpanzee_IYO_V1C.bam.out	Chimpanzee_KENNY_V1C.bam.out	Chimpanzee_MAYUMI_V1C.bam.out	Chimpanzee_REIKO_V1C.bam.out	Chimpanzee_GENKI_PMC.bam.out	Chimpanzee_KENNY_PMC.bam.out	Chimpanzee_MAYUMI_PMC.bam.out	Chimpanzee_REIKO_PMC.bam.out	Chimpanzee_YOSHIO_PMC.bam.out	Chimpanzee_GENKI_STR.bam.out	Chimpanzee_IYO_STR.bam.out	Chimpanzee_KENNY_STR.bam.out	Chimpanzee_MAYUMI_STR.bam.out	Chimpanzee_REIKO_STR.bam.out	Chimpanzee_YOSHIO_STR.bam.out
TCONS_00000004	0	9.37295934858112	23.6148122606367	3.93006043489735	7.70507810357401	45.9726995720861	21.0538886069071	58.2675764310783	7.28248050024816	6.18285687929077	0	0	3.2969649579722	20.9698903075103	2.4447538557521	0	5.21171683690699	15.3371559947228	24.0516674070973	27.1863062068159	0	0	0	19.3531431558337	9.60238025338103	0	2.06005242339005	3.07883831329427	3.3761090855957	1.8221404547626	4.61103010043561	4.27475363419249	7.00417743150368	3.22126041148811	11.7761027021865	3.89694051356157	4.17823695339139	0	6.67381200573666	8.21170730036775	11.2928095942807	2.25203977940009	0
TCONS_00000005	0	7.30934842592239	13.4130232095393	1.8632810799756	5.25519017177655	13.1073166678598	17.496850902777	50.429828774186	1.45372709605714	12.6675396121564	0.836127755906348	1.4171179974921	2.415402385277	17.4766209765189	2.83572605233673	4.70967090530265	3.61960245777348	6.20637878671398	27.6315607323528	31.4020344764053	5.32729148584773	5.93757476148822	2.60286896138321	5.34207586128612	0.891459351309152	5.28721852355438	0.574476458577459	3.5670011109202	2.70088726847656	1.06174722652513	23.4367839574235	0	7.95031996112372	0.972024103324457	16.6793894443193	20.1480115913928	1.18129229679825	0.74815353575139	1.79666827918443	5.85533949403868	6.2983380320352	10.1369240582261	0.473920759318267
TCONS_00000010	3.6863635411214	0	4.95983569691162	0.731116004714235	0	3.12031897548096	7.04081695646817	15.2832987360205	5.59166692889254	3.36473743725647	0	14.0538917278062	3.74780574757399	4.61296908025541	2.76124169073689	0	0	6.35783247465561	3.92993387956987	2.37030316191662	0	0	0	0	5.28921042030377	0	1.13561884074693	0	0	0	0	0	0	0.931854169899153	6.29554938843071	0	2.32301977982814	0	0	1.79193769492843	0	1.24824875380773	0
TCONS_00000035	46.2932867283747	32.7739399792007	106.45986727318	60.7434716058622	21.3045409563821	155.674749873731	74.2914747759145	74.3723152018619	86.6024708137616	14.6589274370632	13.9526714918493	28.4601204594926	3.98636989971179	39.9661438801962	72.7028670000299	16.3654335857974	6.20807446749216	61.6050346363883	66.5532249833142	49.2199232799212	49.5319723928598	20.077136357887	47.282272362292	32.5987182141811	25.4364728313492	53.7333877186862	3.27539715852811	17.3164074652793	39.7421918714341	8.79854275367438	95.6455762236164	49.634639419235	22.3827065389776	14.3950074638375	27.6911591482297	121.830666581873	23.3418814415423	15.5941510447376	47.2679989449783	27.2875966739777	35.9101895048256	84.3550646098774	0
TCONS_00000040	6.87513808714849	67.7233507218115	56.1284881376369	6.93679341822243	24.9384258686747	116.316468796844	50.1909665896804	107.372366756716	0	68.5060542225419	10.0724227339416	18.6839440834394	62.0697520519083	7.59739795805646	12.6874294927825	31.9281034282558	0	31.237717719864	79.8259659125921	36.1773329654098	12.2469162509818	44.5480533168922	6.20304121402001	70.6264055427178	11.5635012998387	10.5136644204012	0	5.33251246769411	12.8340033324773	0	16.4073463696482	33.5333220741213	18.592907363628	24.1089894765814	22.4969990690517	81.6982117078438	0	11.0726723291205	8.35958458850056	21.133628227151	25.4624266959651	16.0919746466112	12.2948585560282
TCONS_00000068	8.21891507690931	32.3760223856343	33.1145294479452	26.8622173410589	24.3175439646901	74.6399812655635	159.752451902776	190.630071788189	50.6235430396321	73.3857286468521	10.3514523696999	9.5902636574465	12.4952126629944	32.8451044319292	62.2199794312713	10.6308495824593	3.2652413773771	21.9668221623613	82.4083965858858	44.7570600471037	16.7679433678139	12.0396847272104	2.94103697605111	27.869062242549	16.0816905494446	25.7798470666098	3.88603380474019	18.0622954843912	7.12038296186344	19.110301621826	57.2142078287732	28.1882283760574	1.11944160372145	28.377933476099	41.2318310640559	88.2061984506751	10.6471739908789	0	9.46889116603397	30.4928064420323	14.2016579564037	26.4169215661607	3.74036466832811
TCONS_00000078	0	1.46516864542381	1.13857130542356	0.34878319170829	0	62.3511797636158	39.2372377248315	47.086807684783	25.2048434240214	11.0544578044673	0	0	0.904962079659037	0	0.663843852576799	0.880673701572738	0	0	0	2.17166193648293	3.99272504734204	1.1113367865679	0	0.624510016856829	0	1.65031809575987	0	0	1.68256110634988	0	0	1.99246991424226	0	0	0	0	0	0	0	0	0.736487582235696	5.92804266749021	0
TCONS_00000117	1.68514568212493	0.948126910105361	29.4643934454979	0.67221699207526	3.84211739519967	48.0452393068933	7.73585540097826	91.781565015032	16.7632139676875	13.8863623424071	18.0151477667725	2.57968664959017	5.1785233658638	14.8227060784521	1.27093421516646	5.16492493690631	3.94707495083651	13.0576620990142	8.41050655954748	32.4831686837307	1.89858497246907	15.0123158894941	5.59183412831226	1.21606288613356	6.47556072790968	12.6381872825548	3.12849879573445	12.7943427919782	8.2856889646488	0.950272904979462	9.41689245863611	3.02087408130593	8.97026232455736	1.71998565139809	32.6609325327554	24.1542538962321	2.13505335964855	2.76816808228013	2.19828930489232	4.10954264717415	12.8623697199511	16.0564672003477	0.860640098921973
TCONS_00000121	15.2802364810145	8.3987619989648	3.43184098858545	0.98545802946078	1.42791829466368	0	0	0	0	0	0	11.4550371463945	1.25276466997576	18.7735702174079	3.70249514757927	0	0	26.5430318197689	37.4762277579837	3.2853347244229	2.74838317839543	3.1478328052529	13.1686815882802	5.4022184372079	0	0	0	0	9.92918776339807	2.76399778619808	3.45976385284949	0	0	0	0	0	0	0	0	0	0	0	0
TCONS_00000170	4.89574363787017	11.0342355917434	37.3088365443863	0	13.967137864761	32.7402014756697	31.2299347669122	36.7068374253031	7.51509044251651	50.8560227852931	5.82828161560287	7.50433975968303	0	22.5888093001628	17.2710691502755	18.3586594712471	2.55185099009177	5.61705749825078	9.31844705824707	27.2563315409849	7.37448720489229	20.806799462319	3.87001461176648	9.43318859807331	21.9806210052969	0	5.05697623312802	4.65700124066239	6.42269554526814	0.922487147523922	15.9870044472832	9.53571890320276	3.48122520850907	11.6967428133758	18.6140650660303	46.8816742289736	16.5703458697638	13.4063745688904	6.39132260866843	12.7496054809891	11.088546888441	17.8003692152582	2.50401752919109
