Ids	Chimpanzee_GENKI_DPFC.bam.out	Chimpanzee_IYO_DPFC.bam.out	Chimpanzee_KENNY_DPFC.bam.out	Chimpanzee_MAYUMI_DPFC.bam.out	Chimpanzee_REIKO_DPFC.bam.out	Chimpanzee_YOSHIO_DPFC.bam.out	Chimpanzee_GENKI_PMC.bam.out	Chimpanzee_KENNY_PMC.bam.out	Chimpanzee_MAYUMI_PMC.bam.out	Chimpanzee_REIKO_PMC.bam.out	Chimpanzee_YOSHIO_PMC.bam.out	Chimpanzee_GENKI_STR.bam.out	Chimpanzee_IYO_STR.bam.out	Chimpanzee_KENNY_STR.bam.out	Chimpanzee_MAYUMI_STR.bam.out	Chimpanzee_REIKO_STR.bam.out	Chimpanzee_YOSHIO_STR.bam.out	Chimpanzee_GENKI_V1C.bam.out	Chimpanzee_IYO_V1C.bam.out	Chimpanzee_KENNY_V1C.bam.out	Chimpanzee_MAYUMI_V1C.bam.out	Chimpanzee_REIKO_V1C.bam.out	Chimpanzee_GENKI_VPFC.bam.out	Chimpanzee_IYO_VPFC.bam.out	Chimpanzee_KENNY_VPFC.bam.out	Chimpanzee_MAYUMI_VPFC.bam.out	Chimpanzee_REIKO_VPFC.bam.out	Chimpanzee_YOSHIO_VPFC.bam.out	Chimpanzee_IYO_ACC.bam.out	Chimpanzee_KENNY_ACC.bam.out	Chimpanzee_MAYUMI_ACC.bam.out	Chimpanzee_REIKO_ACC.bam.out	Chimpanzee_YOSHIO_ACC.bam.out	Chimpanzee_IYO_CB.bam.out	Chimpanzee_KENNY_CB.bam.out	Chimpanzee_MAYUMI_CB.bam.out	Chimpanzee_REIKO_CB.bam.out	Chimpanzee_YOSHIO_CB.bam.out	Chimpanzee_IYO_HIP.bam.out	Chimpanzee_KENNY_HIP.bam.out	Chimpanzee_MAYUMI_HIP.bam.out	Chimpanzee_REIKO_HIP.bam.out	Chimpanzee_YOSHIO_HIP.bam.out
TCONS_00046802	3.293638316	2.936484644	0	2.229848115	0.835867893	2.027414716	0	1.903036843	0	1.515196883	1.442727017	0	5.110239565	1.007607158	1.015543879	1.279714991	0.8105132	0	0	1.673454289	3.811254693	0	3.389947701	1.958309127	0	2.653769112	0	0	4.255458932	0.66396638	0.850948372	0	0	0.639329852	0.499092876	0	0	1.1809801	1.821779041	0.814082004	1.921058135	5.869333522	0
TCONS_00046803	4.940457474	4.404726966	1.499978299	3.344772173	5.015207361	4.054829432	6.912120983	0	0	2.272795324	8.656362101	1.748583779	1.460068447	6.549446528	1.015543879	1.919572487	0	5.493747752	1.066913781	8.367271446	0.952813673	2.37285263	3.389947701	2.611078837	2.44647657	0.884589704	1.461552003	1.369961552	1.418486311	1.991899141	2.552845117	4.740617256	1.414438286	1.917989556	4.990928764	2.469248117	12.52641802	2.3619602	0	5.698574027	4.802645337	5.869333522	6.06809093
TCONS_00046823	0	0	0	0	0	0	0	0	0	0	0	0	13.87065025	33.7548398	11.17098267	21.75515485	7.2946188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.278659704	0	0.987699247	1.789488288	0	0	0	0	0	0
TCONS_00046824	0	0	0	0	0	0	0	0	0	0	0	0	8.030376459	18.64073243	8.124351034	17.27615238	10.5366716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707219143	0	0.499092876	0	1.789488288	0	0	0	0	0	0
TCONS_00046862	0	2.936484644	4.499934898	2.229848115	0.835867893	4.054829432	5.529696786	0	1.883090223	0	4.328181051	0	2.920136894	1.511410737	3.046631638	1.919572487	2.4315396	5.493747752	1.066913781	3.346908579	4.764068366	0	5.084921552	0	1.467885942	6.192127927	11.69241602	2.739923104	1.418486311	5.975697422	0	3.792493805	1.414438286	1.917989556	1.497278629	2.963097741	0	0	4.554447602	5.698574027	2.881587202	20.54266733	0
TCONS_00046875	0	0	1.499978299	1.114924058	1.671735787	0	0	8.563665794	0	1.515196883	0	1.748583779	0	1.511410737	1.015543879	1.279714991	0	0	0	1.673454289	0.952813673	3.163803506	0	0	1.957181256	1.769179408	0	0	0	5.975697422	0	5.688740707	0.707219143	0	6.488207393	0	14.3159063	0.59049005	0	0	0.960529067	5.869333522	1.011348488
TCONS_00046902	0	0	0	0	0.835867893	0	0	0.951518422	0	0	0	0	0	2.015214316	0	0.639857496	0	0	0	3.346908579	0	0	0	0	0.489295314	0	0	0	0	0	1.701896745	0	0	0	0.499092876	0.987699247	0	0.59049005	0	2.442246011	0	0	1.011348488
TCONS_00046903	0	1.468242322	0	0	0	1.013707358	0	1.903036843	0.941545112	1.515196883	2.885454034	1.748583779	1.460068447	1.007607158	0	1.919572487	0.8105132	1.831249251	0	0	0	0.790950877	3.389947701	3.916618255	1.467885942	2.653769112	0	0	0	1.991899141	1.701896745	0.948123451	0	1.917989556	1.996371506	2.963097741	0	3.542940301	1.821779041	0	1.921058135	0	0
TCONS_00046908	1.646819158	0	0	0	0	1.013707358	0	1.903036843	0	0	0	0	0	0.503803579	1.015543879	0	2.4315396	0	0	1.673454289	0	0	1.694973851	0.652769709	0.489295314	0	0	1.369961552	2.836972621	0	0	0	0.707219143	0.639329852	0	0.493849623	0	0.59049005	0	0.814082004	0	0	0
TCONS_00046914	0	2.936484644	0	1.114924058	0	0	0	0	0	1.515196883	1.442727017	1.748583779	0.730034224	0	0	0.639857496	0.8105132	0	0	0	0.952813673	0	0	0.652769709	0.489295314	0.884589704	0	1.369961552	1.418486311	0	1.701896745	0	0	5.114638817	0.998185753	2.469248117	0	0	0.91088952	0	0	0	0
