Ids	Human_Hs1_ACC.bam.out	Human_Hs2_ACC.bam.out	Human_Hs5_ACC.bam.out	Human_Hs6_ACC.bam.out	Human_Hs8_ACC.bam.out	Human_Hs1_CB.bam.out	Human_Hs2_CB.bam.out	Human_Hs3_CB.bam.out	Human_Hs6_CB.bam.out	Human_Hs8_CB.bam.out	Human_Hs1_DPFC.bam.out	Human_Hs2_DPFC.bam.out	Human_Hs3_DPFC.bam.out	Human_Hs5_DPFC.bam.out	Human_Hs6_DPFC.bam.out	Human_Hs8_DPFC.bam.out	Human_Hs1_PMC.bam.out	Human_Hs2_PMC.bam.out	Human_Hs3_PMC.bam.out	Human_Hs5_PMC.bam.out	Human_Hs6_PMC.bam.out	Human_Hs8_PMC.bam.out	Human_Hs1_STR.bam.out	Human_Hs2_STR.bam.out	Human_Hs5_STR.bam.out	Human_Hs8_STR.bam.out	Human_Hs6_STR.bam.out	Human_Hs1_V1C.bam.out	Human_Hs2_V1C.bam.out	Human_Hs5_V1C.bam.out	Human_Hs8_V1C.bam.out	Human_Hs6_V1C.bam.out	Human_Hs4_HIP.bam.out	Human_Hs6_HIP.bam.out	Human_Hs7_HIP.bam.out	Human_Hs9_HIP.bam.out	Human_Hs6_VPFC.bam.out	Human_Hs5_VPFC.bam.out	Human_Hs2_VPFC.bam.out	Human_Hs8_VPFC.bam.out
TCONS_00000092	0	0	0	0	0	0	0	0	0.620031075	1.011647916	0	0	0	0	0	0	0.811340778	0	0	0	0	0	0	0	0	0	1.066759837	1.923956592	1.348600562	0	0	0	0	0	0	0	1.091807371	0	0	0
TCONS_00000094	0	0	0	0	0	1.925138807	0	0	0	2.529119791	0	0	0	0	0	0.294038683	0	0	0	0	0	0.424125126	0.975691766	0	3.368336854	0	1.866829715	0	0	0	0	0	0	0	2.77598215	0	2.183614742	0	0	0.923833148
TCONS_00000141	218.1103486	172.2008573	170.1026802	145.534749	87.78642169	231.0166568	264.2311832	236.5048671	219.4910005	115.8336864	228.8579765	253.6429138	103.2964001	229.8392892	252.9536332	95.85661052	216.6279877	251.0820766	179.3513072	225.4937151	174.8133765	83.97677494	136.5968472	162.0854185	161.680169	63.83754473	125.0775909	150.0686142	248.1425034	214.0971283	92.84045794	173.0087529	155.9976705	170.3921285	156.3803278	173.693542	173.597372	221.5755525	291.5492589	115.4791435
TCONS_00000145	11.92243063	11.5500575	16.62657776	11.53144186	5.320389193	23.10166568	21.25998026	11.11096691	19.8409944	15.68054271	13.95475467	23.72199913	9.996425818	34.27427998	13.41420782	17.64232095	21.906201	4.155022544	11.35134856	23.48892866	7.135239857	16.11675479	7.805534126	8.761373975	13.47334742	11.04880582	15.46801764	23.08747911	10.7888045	7.512179941	20.51126396	18.70364897	14.70135115	21.70600363	10.17860122	0	8.734458967	12.22485807	10.24977863	13.85749722
TCONS_00000150	0	0	0	1.590543705	1.330097298	3.208564678	0	0	0	1.011647916	1.860633955	4.56192291	0	0	3.832630806	0	0	0	0	0	0	0	0.975691766	0	0	1.227645091	0.266689959	0.961978296	2.697201124	5.634134956	0	0.935182448	0	1.085300182	0.925327383	0	4.367229483	1.528107258	3.416592878	0
TCONS_00000173	4.909236143	2.100010455	1.27896752	5.566902968	0	17.9679622	7.592850092	20.63465283	21.70108762	13.15142291	10.23348675	0	6.664283879	0	7.665261613	1.764232095	1.622681556	0	2.270269711	2.818671439	3.567619928	2.12062563	7.805534126	0	5.052505282	3.682935273	10.40090841	4.809891481	0	0	1.079540209	9.351824483	1.633483461	1.085300182	4.626636917	0	1.091807371	0	0	1.847666295
TCONS_00000174	80.65173663	43.05021432	46.04283072	52.09030635	65.17476762	202.1395747	135.1527316	233.3303051	186.6293536	149.7238916	59.54028657	41.05730619	73.30712267	38.30654821	81.44340463	64.1004328	47.86910589	35.0209043	61.29728221	44.15918587	82.05525835	52.59151562	67.32273184	49.93983166	42.10421068	117.8539287	64.53897014	90.42595985	25.62341068	22.53653982	62.6133321	66.39795383	83.30765652	53.1797089	58.29562516	56.76813325	70.96747911	33.61835968	33.02706449	63.74448719
TCONS_00000179	82.05437553	133.3506639	78.01701872	83.1059086	140.9903136	116.1500414	107.8184713	90.47501627	88.66444372	112.2929187	86.51947893	86.67653529	83.30354849	92.74216935	92.94129705	114.0870088	103.8516196	150.1743862	83.99997932	89.25792889	71.35239857	105.1830312	94.64210128	92.87056413	89.26092664	88.39044655	105.3425339	62.52858925	91.70483822	63.8535295	103.63586	83.2312379	119.2442927	126.9801212	108.2633039	113.5362665	57.86579066	82.51779195	60.35980751	153.3563025
TCONS_00000182	0	1.050005227	3.83690256	1.988179632	0	1.283425871	1.518570018	6.349123948	0	0	4.651584889	0.912384582	3.332141939	0	0	0.882116048	0.811340778	0	4.540539423	2.818671439	3.567619928	0	0	0.876137397	0	0	2.133519674	4.809891481	0	0	0	0.935182448	0.816741731	0	0	0	1.091807371	1.528107258	1.138864293	0.923833148
TCONS_00000198	15.42902788	3.150015682	3.83690256	3.578723337	0	2.566851743	3.037140037	3.174561974	1.24006215	1.517471875	8.372852799	4.56192291	3.332141939	7.056469407	3.832630806	5.292696286	4.868044667	13.05864228	13.62161827	2.818671439	7.135239857	8.482502519	4.878458829	1.752274795	3.368336854	1.227645091	5.867179103	4.809891481	5.394402248	5.634134956	3.238620626	6.546277138	1.633483461	4.341200726	0	5.083713425	3.275422113	1.528107258	1.138864293	7.390665182
TCONS_00000209	5.610555592	0	3.83690256	7.952718526	6.650486492	2.566851743	0	20.63465283	1.860093225	0.505823958	1.860633955	0	3.332141939	2.016134116	0.958157702	2.940386826	0.811340778	8.310045088	2.270269711	0	0	2.968875882	4.878458829	2.628412192	0	2.455290182	0.533379918	2.885934889	4.045801686	1.878044985	0	0	0.816741731	49.92380835	3.701309534	0	9.826266338	3.056214517	12.52750722	2.771499443
TCONS_00000255	0	0	0	0.795271853	1.330097298	0	3.037140037	0	2.4801243	2.529119791	1.860633955	0.912384582	0	0	1.916315403	1.17615473	1.622681556	9.497194387	0	0.939557146	3.567619928	0.424125126	0	6.132961782	3.368336854	4.910580364	2.133519674	0	0	1.878044985	1.079540209	0	1.633483461	8.682401453	0.925327383	0.847285571	2.183614742	0	1.138864293	1.847666295
TCONS_00000259	1.402638898	1.050005227	1.27896752	1.192907779	0	0	0	0	0	0	1.860633955	0	3.332141939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.961978296	0	0	0	0	0	0	0	0.847285571	0	1.528107258	3.416592878	1.847666295
TCONS_00000311	0	0	1.27896752	0.795271853	0	1.925138807	1.518570018	6.349123948	3.100155375	1.011647916	2.790950933	0	3.332141939	0	2.874473105	0.882116048	1.622681556	0.593574649	0	0	0	0	0.975691766	0	3.368336854	0	1.066759837	0	0	0	0	1.870364897	1.633483461	0	0	0	2.183614742	0	1.138864293	0.923833148
