Ids	Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out
TCONS_00026330	0	0	0	0	0	0	0	0	0.641314144	0	4.956081387	0	0	0	0.512865701	0
TCONS_00026339	0	0	1.998599094	0	0	0	3.590453942	0	1.282628289	0	1.239020347	1.380548447	4.498933068	0	2.051462803	0
TCONS_00026362	11.97676634	0	9.59327565	0	10.76948829	0	5.026635518	0	14.10891118	0	9.912162773	0	10.92598031	0	11.79591112	0
TCONS_00026381	65.41157001	0	9.59327565	0	37.69320901	0	59.60153543	15.17824443	37.83753452	5.563917454	59.47297664	28.99151739	46.27474012	0	78.98131791	0
TCONS_00026400	1.842579437	0	0	0	0	0	1.436181577	1.517824443	0.641314144	0	0	1.380548447	0.642704724	3.021955641	1.025731401	0
TCONS_00026416	1.842579437	0	0.799439638	0	0.769249163	0	0.718090788	0	1.282628289	0	1.239020347	0	0	0	0	0
TCONS_00026417	8.291607466	0	3.597478369	1.446145756	10.76948829	0	7.180907883	0	3.206570722	0	6.814611907	0	8.355161411	0	8.205851211	0
TCONS_00026428	5.52773831	0	0	0	4.61549498	0	0.718090788	0	5.771827299	0	0.619510173	0	1.928114172	0	5.641522708	0
TCONS_00026429	4.606448592	1.281097083	0.399719819	0	4.61549498	1.489313581	2.154272365	4.553473328	1.282628289	2.781958727	1.239020347	8.283290684	2.570818896	6.043911282	7.692985511	1.471751027
TCONS_00026443	11.05547662	0	0	0	0.769249163	0	69.65480647	0	5.771827299	0	0.619510173	0	0	0	9.231582613	0
TCONS_00026518	3.685158874	0	0	0	8.461740797	0	3.590453942	1.517824443	4.489199011	0	0	0	6.427047239	0	8.718716912	0
TCONS_00026551	3.685158874	0	10.79243511	0	3.076996654	0	7.898998672	1.517824443	3.206570722	0	1.239020347	0	4.498933068	0	4.615791306	0
TCONS_00026552	0.921289718	0	1.199159456	0	0	0	2.154272365	0	0.641314144	0	0	1.380548447	1.285409448	0	0	0
TCONS_00026553	1.842579437	0	1.199159456	0.723072878	1.538498327	2.978627162	0.718090788	1.517824443	0.641314144	0	0.619510173	0	2.570818896	3.021955641	0.512865701	0
TCONS_00026578	43.30061677	0	0	0	20.00047825	0	1.436181577	0	23.0873092	0	3.097550867	0	0	0	22.56609083	0
TCONS_00026580	2.763869155	2.562194166	0	0	3.846245817	0	7.180907883	0	5.771827299	0	7.43412208	0	1.928114172	3.021955641	4.615791306	1.471751027
TCONS_00026581	13.81934578	0	2.798038731	12.29223892	14.6157341	10.42519507	11.48945261	0	20.52205262	1.390979363	32.83403919	0	11.56868503	3.021955641	21.02749373	10.30225719
TCONS_00026591	11.05547662	0	0	0	2.30774749	0	14.36181577	0	1.923942433	0	3.097550867	0	0	0	1.538597102	0
TCONS_00026592	0	0	0	0	0.769249163	0	7.180907883	0	1.282628289	0	1.85853052	0	0.642704724	0	2.564328504	0
TCONS_00026595	2.763869155	0	0	0	0	0	4.30854473	0	1.923942433	0	0	0	0	0	0.512865701	0
TCONS_00026610	0.921289718	1.281097083	0	2.892291511	1.538498327	2.978627162	0	1.517824443	0.641314144	0	0.619510173	0	0	0	0.512865701	7.358755136
TCONS_00026639	58.04125226	0	91.93555832	0	59.23218558	0	56.01108149	0	30.14176479	0	86.73142427	0	73.26833853	0	47.18364447	0
TCONS_00026644	5.52773831	0	15.58907293	2.169218634	3.076996654	0	5.026635518	0	5.771827299	0	6.814611907	0	13.4967992	0	8.205851211	0
TCONS_00026647	11.97676634	0	1.598879275	0	10.76948829	0	33.03217626	0	35.27227794	2.781958727	47.08277317	0	21.20925589	0	14.87310532	0
TCONS_00026650	0.921289718	0	0	0	1.538498327	0	0.718090788	0	3.847884866	0	6.814611907	0	1.285409448	0	1.538597102	0
TCONS_00026661	0	0	2.798038731	0	1.538498327	0	0.718090788	0	0.641314144	0	4.956081387	0	0	0	1.025731401	0
TCONS_00026678	0.921289718	0	1.598879275	0	2.30774749	0	1.436181577	0	1.282628289	0	0.619510173	0	1.285409448	0	0.512865701	0
TCONS_00026697	35.93029902	0	40.3717017	0	60.00143475	0	35.90453942	3.035648886	41.04410524	0	37.1706104	0	39.20498816	0	56.41522708	0
TCONS_00026700	0	3.843291249	0	4.338437267	0	2.978627162	2.154272365	4.553473328	0	5.563917454	0	2.761096895	0.642704724	6.043911282	0	0
TCONS_00026701	12.89805606	10.24877666	4.796637825	5.784583023	9.230989961	19.36107655	0	6.071297771	11.5436546	6.954896817	7.43412208	6.902742236	20.56655117	18.13173385	12.30877682	1.471751027
TCONS_00026703	4.606448592	5.124388331	0	3.615364389	3.076996654	1.489313581	1.436181577	0	1.923942433	6.954896817	4.956081387	1.380548447	7.069751963	24.17564513	6.667254109	5.887004109
TCONS_00026707	28.55998127	0	0	0	10.76948829	0	10.05327104	0	25.01125163	0	6.814611907	0	4.498933068	0	6.154388409	0
TCONS_00026738	8.291607466	0	29.57926659	0	4.61549498	0	9.335180248	0	7.054455588	0	0	0	15.42491337	0	12.82164252	0
TCONS_00026745	0	0	0	0	0.769249163	0	2.154272365	0	1.282628289	0	1.239020347	0	0	0	0.512865701	1.471751027
TCONS_00026746	32.24514014	0	22.78402967	0	26.15447156	0	22.26081444	0	36.55490623	0	22.30236624	0	26.35089368	0	26.15615074	0
