LncRNAs	LncRNA1_id	Region	Organism
TCONS_00005687	pan_TCONS_00005687	ACC vs CB	Chimp
TCONS_00005767	pan_TCONS_00005767	ACC vs CB	Chimp
TCONS_00005790	pan_TCONS_00005790	ACC vs CB	Chimp
TCONS_00005862	pan_TCONS_00005862	ACC vs CB	Chimp
TCONS_00005903	pan_TCONS_00005903	ACC vs CB	Chimp
TCONS_00005909	pan_TCONS_00005909	ACC vs CB	Chimp
TCONS_00005924	pan_TCONS_00005924	ACC vs CB	Chimp
TCONS_00005931	pan_TCONS_00005931	ACC vs CB	Chimp
TCONS_00005955	pan_TCONS_00005955	ACC vs CB	Chimp
TCONS_00006000	pan_TCONS_00006000	ACC vs CB	Chimp
TCONS_00006020	pan_TCONS_00006020	ACC vs CB	Chimp
TCONS_00006022	pan_TCONS_00006022	ACC vs CB	Chimp
TCONS_00006023	pan_TCONS_00006023	ACC vs CB	Chimp
TCONS_00006095	pan_TCONS_00006095	ACC vs CB	Chimp
TCONS_00006128	pan_TCONS_00006128	ACC vs CB	Chimp
TCONS_00006129	pan_TCONS_00006129	ACC vs CB	Chimp
TCONS_00006207	pan_TCONS_00006207	ACC vs CB	Chimp
TCONS_00006217	pan_TCONS_00006217	ACC vs CB	Chimp
TCONS_00006335	pan_TCONS_00006335	ACC vs CB	Chimp
TCONS_00006338	pan_TCONS_00006338	ACC vs CB	Chimp
TCONS_00006637	pan_TCONS_00006637	ACC vs CB	Chimp
TCONS_00006643	pan_TCONS_00006643	ACC vs CB	Chimp
TCONS_00006653	pan_TCONS_00006653	ACC vs CB	Chimp
TCONS_00006689	pan_TCONS_00006689	ACC vs CB	Chimp
TCONS_00006690	pan_TCONS_00006690	ACC vs CB	Chimp
TCONS_00006695	pan_TCONS_00006695	ACC vs CB	Chimp
TCONS_00006826	pan_TCONS_00006826	ACC vs CB	Chimp
TCONS_00006914	pan_TCONS_00006914	ACC vs CB	Chimp
TCONS_00006924	pan_TCONS_00006924	ACC vs CB	Chimp
TCONS_00006969	pan_TCONS_00006969	ACC vs CB	Chimp
TCONS_00007046	pan_TCONS_00007046	ACC vs CB	Chimp
TCONS_00007052	pan_TCONS_00007052	ACC vs CB	Chimp
TCONS_00007101	pan_TCONS_00007101	ACC vs CB	Chimp
TCONS_00007115	pan_TCONS_00007115	ACC vs CB	Chimp
TCONS_00007501	pan_TCONS_00007501	ACC vs CB	Chimp
TCONS_00007512	pan_TCONS_00007512	ACC vs CB	Chimp
TCONS_00007548	pan_TCONS_00007548	ACC vs CB	Chimp
TCONS_00007583	pan_TCONS_00007583	ACC vs CB	Chimp
TCONS_00007598	pan_TCONS_00007598	ACC vs CB	Chimp
TCONS_00007604	pan_TCONS_00007604	ACC vs CB	Chimp
TCONS_00007632	pan_TCONS_00007632	ACC vs CB	Chimp
TCONS_00007790	pan_TCONS_00007790	ACC vs CB	Chimp
TCONS_00007791	pan_TCONS_00007791	ACC vs CB	Chimp
TCONS_00007826	pan_TCONS_00007826	ACC vs CB	Chimp
TCONS_00007890	pan_TCONS_00007890	ACC vs CB	Chimp
TCONS_00007899	pan_TCONS_00007899	ACC vs CB	Chimp
TCONS_00007907	pan_TCONS_00007907	ACC vs CB	Chimp
TCONS_00008121	pan_TCONS_00008121	ACC vs CB	Chimp
TCONS_00008234	pan_TCONS_00008234	ACC vs CB	Chimp
TCONS_00008256	pan_TCONS_00008256	ACC vs CB	Chimp
